Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Filter Width (elements);Filter Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
13,40;15,07;51,39;1792;1792;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;12931412;12845056;0;1792;1792;1;16;16;1;1;35,132;6,104
13,85;15,47;54,06;1856;1856;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;13868372;13778944;0;1856;1856;1;16;16;1;1;35,136;6,105
14,09;16,56;58,14;1920;1920;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;14838100;14745600;0;1920;1920;1;16;16;1;1;35,140;6,106
14,90;18,03;60,74;1984;1984;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;15840596;15745024;0;1984;1984;1;16;16;1;1;35,143;6,106
16,00;18,10;65,93;2048;2048;7;7;0;49;1;0;0;49;282;0;0;0;0;0;0;16875860;16777216;0;2048;2048;1;16;16;1;1;35,147;6,107
4,00;4,32;3,27;64;64;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;21060;16384;0;64;64;1;16;16;1;1;49,444;8,861
3,13;4,00;4,15;128;128;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;74308;65536;0;128;128;1;16;16;1;1;52,956;9,490
3,78;4,52;4,53;192;192;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;160324;147456;0;192;192;1;16;16;1;1;54,138;9,702
3,98;4,73;5,93;256;256;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;279108;262144;0;256;256;1;16;16;1;1;54,729;9,808
4,66;4,45;5,96;320;320;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;430660;409600;0;320;320;1;16;16;1;1;55,084;9,871
4,76;5,34;7,02;384;384;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;614980;589824;0;384;384;1;16;16;1;1;55,320;9,914
4,45;5,27;8,31;448;448;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;832068;802816;0;448;448;1;16;16;1;1;55,489;9,944
5,14;5,79;10,98;512;512;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;1081924;1048576;0;512;512;1;16;16;1;1;55,616;9,967
5,00;5,66;12,56;576;576;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;1364548;1327104;0;576;576;1;16;16;1;1;55,714;9,984
5,02;6,53;14,05;640;640;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;1679940;1638400;0;640;640;1;16;16;1;1;55,793;9,998
5,07;6,47;16,72;704;704;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;2028100;1982464;0;704;704;1;16;16;1;1;55,857;10,010
5,55;7,42;18,03;768;768;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;2409028;2359296;0;768;768;1;16;16;1;1;55,911;10,019
6,68;7,10;21,39;832;832;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;2822724;2768896;0;832;832;1;16;16;1;1;55,956;10,028
6,64;8,39;23,01;896;896;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;3269188;3211264;0;896;896;1;16;16;1;1;55,995;10,035
6,65;8,30;25,73;960;960;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;3748420;3686400;0;960;960;1;16;16;1;1;56,029;10,041
7,05;9,45;30,22;1024;1024;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;4260420;4194304;0;1024;1024;1;16;16;1;1;56,058;10,046
7,94;10,54;36,11;1088;1088;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;4805188;4734976;0;1088;1088;1;16;16;1;1;56,084;10,050
7,56;10,61;37,04;1152;1152;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;5382724;5308416;0;1152;1152;1;16;16;1;1;56,107;10,055
9,29;11,15;41,39;1216;1216;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;5993028;5914624;0;1216;1216;1;16;16;1;1;56,128;10,058
8,46;11,85;43,56;1280;1280;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;6636100;6553600;0;1280;1280;1;16;16;1;1;56,147;10,062
9,24;12,64;47,82;1344;1344;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;7311940;7225344;0;1344;1344;1;16;16;1;1;56,163;10,065
9,72;13,35;52,79;1408;1408;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;8020548;7929856;0;1408;1408;1;16;16;1;1;56,179;10,067
10,60;14,17;57,49;1472;1472;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;8761924;8667136;0;1472;1472;1;16;16;1;1;56,193;10,070
10,66;15,31;61,77;1536;1536;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;9536068;9437184;0;1536;1536;1;16;16;1;1;56,206;10,072
11,18;16,52;68,70;1600;1600;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;10342980;10240000;0;1600;1600;1;16;16;1;1;56,217;10,074
12,34;16,63;73,44;1664;1664;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;11182660;11075584;0;1664;1664;1;16;16;1;1;56,228;10,076
12,49;17,87;76,06;1728;1728;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;12055108;11943936;0;1728;1728;1;16;16;1;1;56,238;10,078
13,10;20,85;82,32;1792;1792;9;9;0;81;1;0;0;81;452;0;0;0;0;0;0;12960324;12845056;0;1792;1792;1;16;16;1;1;56,248;10,080
