Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
1,1,256,1,0,0,0,512,0,0,1,0,0,0,262144,1024,0,256,1,1,64,1,1,256,0.0625,1,0,1,0,0,1,2.13,2.28,13.3
1,1,320,1,0,0,0,640,0,0,1,0,0,0,409600,1280,0,320,1,1,64,1,1,320,0.0625,1,0,1,0,0,1,2.09,2.23,18.7
1,1,384,1,0,0,0,768,0,0,1,0,0,0,589824,1536,0,384,1,1,64,1,1,384,0.0625,1,0,1,0,0,1,2.26,2.35,27.8
1,1,448,1,0,0,0,896,0,0,1,0,0,0,802816,1792,0,448,1,1,64,1,1,448,0.0625,1,0,1,0,0,1,2.2,2.82,40.2
1,1,512,1,0,0,0,1024,0,0,1,0,0,0,1048576,2048,0,512,1,1,64,1,1,512,0.0625,1,0,1,0,0,1,2.71,3.05,64.1
1,1,576,1,0,0,0,1152,0,0,1,0,0,0,1327104,2304,0,576,1,1,64,1,1,576,0.0625,1,0,1,0,0,1,2.88,3.29,74.5
1,1,640,1,0,0,0,1280,0,0,1,0,0,0,1638400,2560,0,640,1,1,64,1,1,640,0.0625,1,0,1,0,0,1,3.2,3.64,96.7
1,1,704,1,0,0,0,1408,0,0,1,0,0,0,1982464,2816,0,704,1,1,64,1,1,704,0.0625,1,0,1,0,0,1,3.47,3.81,152.8
1,1,768,1,0,0,0,1536,0,0,1,0,0,0,2359296,3072,0,768,1,1,64,1,1,768,0.0625,1,0,1,0,0,1,3.52,3.81,407
1,1,832,1,0,0,0,1664,0,0,1,0,0,0,2768896,3328,0,832,1,1,64,1,1,832,0.0625,1,0,1,0,0,1,4.06,4.45,977.4
1,1,896,1,0,0,0,1792,0,0,1,0,0,0,3211264,3584,0,896,1,1,64,1,1,896,0.0625,1,0,1,0,0,1,4.38,4.83,1367.4
1,1,960,1,0,0,0,1920,0,0,1,0,0,0,3686400,3840,0,960,1,1,64,1,1,960,0.0625,1,0,1,0,0,1,4.14,4.78,1826.4
1,1,1024,1,0,0,0,2048,0,0,1,0,0,0,4194304,4096,0,1024,1,1,64,1,1,1024,0.0625,1,0,1,0,0,1,4.23,5.02,8727.1
1,1,1088,1,0,0,0,2176,0,0,1,0,0,0,4734976,4352,0,1088,1,1,64,1,1,1088,0.0625,1,0,1,0,0,1,4.78,5.45,3062.6
1,1,1152,1,0,0,0,2304,0,0,1,0,0,0,5308416,4608,0,1152,1,1,64,1,1,1152,0.0625,1,0,1,0,0,1,5.09,5.76,3685.5
1,1,1216,1,0,0,0,2432,0,0,1,0,0,0,5914624,4864,0,1216,1,1,64,1,1,1216,0.0625,1,0,1,0,0,1,5.4,5.97,4337.5
1,1,1280,1,0,0,0,2560,0,0,1,0,0,0,6553600,5120,0,1280,1,1,64,1,1,1280,0.0625,1,0,1,0,0,1,5.41,6.22,5124
1,1,1344,1,0,0,0,2688,0,0,1,0,0,0,7225344,5376,0,1344,1,1,64,1,1,1344,0.0625,1,0,1,0,0,1,5.5,6.42,5786
1,1,1408,1,0,0,0,2816,0,0,1,0,0,0,7929856,5632,0,1408,1,1,64,1,1,1408,0.0625,1,0,1,0,0,1,6.06,6.73,6782.6
1,1,1472,1,0,0,0,2944,0,0,1,0,0,0,8667136,5888,0,1472,1,1,64,1,1,1472,0.0625,1,0,1,0,0,1,6,6.51,7618.7
1,1,1536,1,0,0,0,3072,0,0,1,0,0,0,9437184,6144,0,1536,1,1,64,1,1,1536,0.0625,1,0,1,0,0,1,6.18,7.32,26712.2
1,1,1600,1,0,0,0,3200,0,0,1,0,0,0,10240000,6400,0,1600,1,1,64,1,1,1600,0.0625,1,0,1,0,0,1,6.83,7.72,9825.8
1,1,1664,1,0,0,0,3328,0,0,1,0,0,0,11075584,6656,0,1664,1,1,64,1,1,1664,0.0625,1,0,1,0,0,1,6.79,7.98,11106.3
1,1,1728,1,0,0,0,3456,0,0,1,0,0,0,11943936,6912,0,1728,1,1,64,1,1,1728,0.0625,1,0,1,0,0,1,7.41,8.5,12338.1
1,1,1792,1,0,0,0,3584,0,0,1,0,0,0,12845056,7168,0,1792,1,1,64,1,1,1792,0.0625,1,0,1,0,0,1,7.78,9.1,14002.6
1,1,1856,1,0,0,0,3712,0,0,1,0,0,0,13778944,7424,0,1856,1,1,64,1,1,1856,0.0625,1,0,1,0,0,1,7.86,9.36,15174.3
1,1,1920,1,0,0,0,3840,0,0,1,0,0,0,14745600,7680,0,1920,1,1,64,1,1,1920,0.0625,1,0,1,0,0,1,8.4,10.08,16976.5
1,1,1984,1,0,0,0,3968,0,0,1,0,0,0,15745024,7936,0,1984,1,1,64,1,1,1984,0.0625,1,0,1,0,0,1,8.54,10.44,19136.7
1,1,2048,1,0,0,0,4096,0,0,1,0,0,0,16777216,8192,0,2048,1,1,64,1,1,2048,0.0625,1,0,1,0,0,1,9.27,11.35,89767.6
2,1,64,1,0,0,0,128,0,0,1,0,0,0,16384,256,0,64,1,1,64,1,1,64,1,1,0,0,0,0,1,2.12,2.74,6.1
2,1,128,1,0,0,0,256,0,0,1,0,0,0,65536,512,0,128,1,1,64,1,1,128,1,1,0,0,0,0,1,2.18,2.85,10.4
2,1,192,1,0,0,0,384,0,0,1,0,0,0,147456,768,0,192,1,1,64,1,1,192,1,1,0,0,0,0,1,2.66,3,12.4
2,1,256,1,0,0,0,512,0,0,1,0,0,0,262144,1024,0,256,1,1,64,1,1,256,1,1,0,0,0,0,1,2.72,2.93,17.1
2,1,320,1,0,0,0,640,0,0,1,0,0,0,409600,1280,0,320,1,1,64,1,1,320,1,1,0,0,0,0,1,2.91,2.81,31.4
2,1,384,1,0,0,0,768,0,0,1,0,0,0,589824,1536,0,384,1,1,64,1,1,384,1,1,0,0,0,0,1,2.96,3.33,38.9
2,1,448,1,0,0,0,896,0,0,1,0,0,0,802816,1792,0,448,1,1,64,1,1,448,1,1,0,0,0,0,1,2.65,3.44,57.7
2,1,512,1,0,0,0,1024,0,0,1,0,0,0,1048576,2048,0,512,1,1,64,1,1,512,1,1,0,0,0,0,1,2.41,3.39,102.6
2,1,576,1,0,0,0,1152,0,0,1,0,0,0,1327104,2304,0,576,1,1,64,1,1,576,1,1,0,0,0,0,1,2.96,3.45,120.3
2,1,640,1,0,0,0,1280,0,0,1,0,0,0,1638400,2560,0,640,1,1,64,1,1,640,1,1,0,0,0,0,1,3.19,4,165
2,1,704,1,0,0,0,1408,0,0,1,0,0,0,1982464,2816,0,704,1,1,64,1,1,704,1,1,0,0,0,0,1,3.49,4.13,233.6
2,1,768,1,0,0,0,1536,0,0,1,0,0,0,2359296,3072,0,768,1,1,64,1,1,768,1,1,0,0,0,0,1,3.59,4.73,292.8
2,1,832,1,0,0,0,1664,0,0,1,0,0,0,2768896,3328,0,832,1,1,64,1,1,832,1,1,0,0,0,0,1,3.92,4.74,361.1
2,1,896,1,0,0,0,1792,0,0,1,0,0,0,3211264,3584,0,896,1,1,64,1,1,896,1,1,0,0,0,0,1,4.2,5.21,456.9
2,1,960,1,0,0,0,1920,0,0,1,0,0,0,3686400,3840,0,960,1,1,64,1,1,960,1,1,0,0,0,0,1,4.46,5.4,624.6
2,1,1024,1,0,0,0,2048,0,0,1,0,0,0,4194304,4096,0,1024,1,1,64,1,1,1024,1,1,0,0,0,0,1,4.72,6.04,751.1
2,1,1088,1,0,0,0,2176,0,0,1,0,0,0,4734976,4352,0,1088,1,1,64,1,1,1088,1,1,0,0,0,0,1,4.97,6.23,853.2
2,1,1152,1,0,0,0,2304,0,0,1,0,0,0,5308416,4608,0,1152,1,1,64,1,1,1152,1,1,0,0,0,0,1,4.82,6.93,1196.8
2,1,1216,1,0,0,0,2432,0,0,1,0,0,0,5914624,4864,0,1216,1,1,64,1,1,1216,1,1,0,0,0,0,1,5.19,6.77,1182.8
2,1,1280,1,0,0,0,2560,0,0,1,0,0,0,6553600,5120,0,1280,1,1,64,1,1,1280,1,1,0,0,0,0,1,5.49,7.7,1409.4
2,1,1344,1,0,0,0,2688,0,0,1,0,0,0,7225344,5376,0,1344,1,1,64,1,1,1344,1,1,0,0,0,0,1,5.75,7.46,1607.8
2,1,1408,1,0,0,0,2816,0,0,1,0,0,0,7929856,5632,0,1408,1,1,64,1,1,1408,1,1,0,0,0,0,1,6.04,9.22,1900.4
2,1,1472,1,0,0,0,2944,0,0,1,0,0,0,8667136,5888,0,1472,1,1,64,1,1,1472,1,1,0,0,0,0,1,6.02,8.24,2138.7
2,1,1536,1,0,0,0,3072,0,0,1,0,0,0,9437184,6144,0,1536,1,1,64,1,1,1536,1,1,0,0,0,0,1,6.36,11.76,2475.3
2,1,1600,1,0,0,0,3200,0,0,1,0,0,0,10240000,6400,0,1600,1,1,64,1,1,1600,1,1,0,0,0,0,1,7.02,9.64,2743
2,1,1664,1,0,0,0,3328,0,0,1,0,0,0,11075584,6656,0,1664,1,1,64,1,1,1664,1,1,0,0,0,0,1,7.46,11.39,3074
2,1,1728,1,0,0,0,3456,0,0,1,0,0,0,11943936,6912,0,1728,1,1,64,1,1,1728,1,1,0,0,0,0,1,7.43,10.45,4377.7
2,1,1792,1,0,0,0,3584,0,0,1,0,0,0,12845056,7168,0,1792,1,1,64,1,1,1792,1,1,0,0,0,0,1,8.18,15.36,3868
2,1,1856,1,0,0,0,3712,0,0,1,0,0,0,13778944,7424,0,1856,1,1,64,1,1,1856,1,1,0,0,0,0,1,8.52,11.22,5150.3
2,1,1920,1,0,0,0,3840,0,0,1,0,0,0,14745600,7680,0,1920,1,1,64,1,1,1920,1,1,0,0,0,0,1,8.39,24,5574.9
2,1,1984,1,0,0,0,3968,0,0,1,0,0,0,15745024,7936,0,1984,1,1,64,1,1,1984,1,1,0,0,0,0,1,8.4,12.38,6126.1
2,1,2048,1,0,0,0,4096,0,0,1,0,0,0,16777216,8192,0,2048,1,1,64,1,1,2048,1,1,0,0,0,0,1,9.27,17.77,6639.7
3,0,128,1,0,0,0,376,0,8,0,0,0,0,32768,16384,0,64,64,1,16,16,1,8,0.53125,4,15,0.0625,0,0,1,6.2,6.1,2.63
3,0,256,1,0,0,0,752,0,16,0,0,0,0,131072,65536,0,128,128,1,16,16,1,16,0.53125,2,15,0.0625,0,0,1,2,3.4,2.74
3,0,384,1,0,0,0,1128,0,24,0,0,0,0,294912,147456,0,192,192,1,16,16,1,24,0.53125,1.333333,15,0.0625,0,0,1,6.2,8.9,3.2
3,0,512,1,0,0,0,1504,0,32,0,0,0,0,524288,262144,0,256,256,1,16,16,1,32,0.53125,1,15,0.0625,0,0,1,6.7,10.5,3.67
3,0,640,1,0,0,0,1880,0,40,0,0,0,0,819200,409600,0,320,320,1,16,16,1,40,0.53125,0.8000001,15,0.0625,0,0,1,7.4,12,4.28
3,0,768,1,0,0,0,2256,0,48,0,0,0,0,1179648,589824,0,384,384,1,16,16,1,48,0.53125,0.6666667,15,0.0625,0,0,1,9.6,17.4,4.57
3,0,896,1,0,0,0,2632,0,56,0,0,0,0,1605632,802816,0,448,448,1,16,16,1,56,0.53125,0.5714286,15,0.0625,0,0,1,9.3,20.7,5.27
3,0,1024,1,0,0,0,3008,0,64,0,0,0,0,2097152,1048576,0,512,512,1,16,16,1,64,0.53125,0.5,15,0.0625,0,0,1,9.4,25.1,6.55
3,0,1152,1,0,0,0,3384,0,72,0,0,0,0,2654208,1327104,0,576,576,1,16,16,1,72,0.53125,0.4444445,15,0.0625,0,0,1,10.6,23,6.79
3,0,1280,1,0,0,0,3760,0,80,0,0,0,0,3276800,1638400,0,640,640,1,16,16,1,80,0.53125,0.4000001,15,0.0625,0,0,1,5.1,30.8,8.02
3,0,1408,1,0,0,0,4136,0,88,0,0,0,0,3964928,1982464,0,704,704,1,16,16,1,88,0.53125,0.3636364,15,0.0625,0,0,1,5.9,39.8,8.77
3,0,1536,1,0,0,0,4512,0,96,0,0,0,0,4718592,2359296,0,768,768,1,16,16,1,96,0.53125,0.3333333,15,0.0625,0,0,1,11.8,53.7,9.88
3,0,1664,1,0,0,0,4888,0,104,0,0,0,0,5537792,2768896,0,832,832,1,16,16,1,104,0.53125,0.3076923,15,0.0625,0,0,1,7.9,61.5,11.2
3,0,1792,1,0,0,0,5264,0,112,0,0,0,0,6422528,3211264,0,896,896,1,16,16,1,112,0.53125,0.2857143,15,0.0625,0,0,1,14.1,82,12.71
3,0,1920,1,0,0,0,5640,0,120,0,0,0,0,7372800,3686400,0,960,960,1,16,16,1,120,0.53125,0.2666667,15,0.0625,0,0,1,16.5,91.1,13.85
3,0,2048,1,0,0,0,6016,0,128,0,0,0,0,8388608,4194304,0,1024,1024,1,16,16,1,128,0.53125,0.25,15,0.0625,0,0,1,16,115.9,15.87
3,0,2176,1,0,0,0,6392,0,136,0,0,0,0,9469952,4734976,0,1088,1088,1,16,16,1,136,0.53125,0.2352941,15,0.0625,0,0,1,17.8,135.6,17.44
3,0,2304,1,0,0,0,6768,0,144,0,0,0,0,10616832,5308416,0,1152,1152,1,16,16,1,144,0.53125,0.2222223,15,0.0625,0,0,1,14.4,161.5,19.08
3,0,2432,1,0,0,0,7144,0,152,0,0,0,0,11829248,5914624,0,1216,1216,1,16,16,1,152,0.53125,0.2105263,15,0.0625,0,0,1,16.1,185.4,20.71
3,0,2560,1,0,0,0,7520,0,160,0,0,0,0,13107200,6553600,0,1280,1280,1,16,16,1,160,0.53125,0.2,15,0.0625,0,0,1,18,205.6,23.01
