Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Num groups,Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Cache Misses,Miss Ratio,Tahiti Compute units,Devastator compute units,Tahit batch count,Devastator batch count,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,112197632,56098816,0,14024704,1,1,128,1,1,109568,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,59.9,53.46,53.82
0,0,2,1,0,0,0,1,0,0,0,0,0,0,113246208,56623104,0,14155776,1,1,128,1,1,110592,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,58.64,54.64,54.29
0,0,2,1,0,0,0,1,0,0,0,0,0,0,114294784,57147392,0,14286848,1,1,128,1,1,111616,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,59.55,56.74,56.75
0,0,2,1,0,0,0,1,0,0,0,0,0,0,115343360,57671680,0,14417920,1,1,128,1,1,112640,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,60.42,57.02,56.23
0,0,2,1,0,0,0,1,0,0,0,0,0,0,116391936,58195968,0,14548992,1,1,128,1,1,113664,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,60.03,58.22,55.47
0,0,2,1,0,0,0,1,0,0,0,0,0,0,117440512,58720256,0,14680064,1,1,128,1,1,114688,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,60.1,59.08,57.7
0,0,2,1,0,0,0,1,0,0,0,0,0,0,118489088,59244544,0,14811136,1,1,128,1,1,115712,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,61.8,59.54,52.41
0,0,2,1,0,0,0,1,0,0,0,0,0,0,119537664,59768832,0,14942208,1,1,128,1,1,116736,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,61.65,58.78,57.32
0,0,2,1,0,0,0,1,0,0,0,0,0,0,120586240,60293120,0,15073280,1,1,128,1,1,117760,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,60.36,60.2,52.04
0,0,2,1,0,0,0,1,0,0,0,0,0,0,121634816,60817408,0,15204352,1,1,128,1,1,118784,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,61.95,59,59.99
0,0,2,1,0,0,0,1,0,0,0,0,0,0,122683392,61341696,0,15335424,1,1,128,1,1,119808,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,61.02,59.85,58.99
0,0,2,1,0,0,0,1,0,0,0,0,0,0,123731968,61865984,0,15466496,1,1,128,1,1,120832,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,59.91,59.47,61.05
0,0,2,1,0,0,0,1,0,0,0,0,0,0,124780544,62390272,0,15597568,1,1,128,1,1,121856,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,63.01,59.28,57.62
0,0,2,1,0,0,0,1,0,0,0,0,0,0,125829120,62914560,0,15728640,1,1,128,1,1,122880,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,61.75,60.61,60.22
0,0,2,1,0,0,0,1,0,0,0,0,0,0,126877696,63438848,0,15859712,1,1,128,1,1,123904,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,60.76,60.89,57.24
0,0,2,1,0,0,0,1,0,0,0,0,0,0,127926272,63963136,0,15990784,1,1,128,1,1,124928,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,61.39,61.26,60.15
